API,CC,MemAccess,CVE_Score,NLOC,TokenCount,ParamCount,FS
TIFFReadDirectory,201,8042,3.5,736,3737,1,16.183317059889287
TIFFWriteDirectory,1,905,3.5,4,20,1,12.482615839915393
_TIFFmemcpy,1,6,3.5,4,28,3,12.145990832108742
TIFFPrintDirectory,109,824,2.0,453,2612,3,10.659443003910164
TIFFReadRGBATileExt,15,6464,2.0,72,465,5,9.74661111807703
TIFFReadRGBATile,1,108,2.5,4,32,4,9.681384065150514
TIFFClose,2,121,2.5,10,46,1,9.4119372037391
TIFFGetField,1,25,2.5,9,47,2,9.363272108623882
TIFFWriteScanline,20,354,2.0,84,539,4,9.314797930240328
TIFFRGBAImageGet,3,26,2.0,18,99,4,8.330853104430737
_TIFFCheckMalloc,1,55,2.0,5,33,4,8.113648889126393
TIFFReadRGBAImageOriented,2,5190,1.5,20,121,6,7.8101666822347
TIFFOpen,1,34,2.0,4,24,2,7.723169887369131
TIFFSetDirectory,17,647,1.5,55,302,2,7.485298429824311
TIFFClientOpen,1,410,1.5,10,64,10,7.47502918166164
TIFFReadRGBAImage,1,5200,1.5,6,37,5,7.415175020141942
_TIFFmalloc,2,6,2.0,6,33,1,7.379360051632563
TIFFReadRawTile,7,167,1.5,33,212,4,7.322393816010715
TIFFReadRawStrip,7,160,1.5,33,212,4,7.3160687699472735
TIFFYCbCrtoRGB,1,64,1.5,15,164,7,7.2115746264634
TIFFCleanup,16,110,1.5,55,322,1,7.0179953518912885
_TIFFCheckRealloc,3,47,1.5,19,95,5,7.010408595261789
TIFFRewriteDirectory,1,5044,1.5,4,20,1,6.737806657164162
TIFFVGetField,4,56,1.5,7,67,3,6.66229131459362
TIFFVStripSize,1,263,1.5,7,42,2,6.660574211307567
TIFFFlush,9,100,1.5,17,99,1,6.619885164086103
TIFFRasterScanlineSize64,2,73,1.5,17,99,1,6.504005563126641
TIFFVSetField,2,35,1.5,6,40,3,6.4923706257753215
TIFFScanlineSize,1,172,1.5,7,37,1,6.379823312544734
TIFFFdOpen,1,22,1.5,4,29,3,6.326903351711558
TIFFSetField,1,16,1.5,9,47,2,6.300127603907082
TIFFRasterScanlineSize,1,90,1.5,7,37,1,6.284347528644816
TIFFFlushData,4,16,1.5,12,67,1,6.209145025640004
_TIFFmemcmp,1,6,1.5,4,32,3,6.161697971092902
_TIFFmemset,1,6,1.5,1,26,3,5.998526677728417
_TIFFRewriteField,101,1095,0.0,366,2081,5,4.76512924386873
TIFFRGBAImageBegin,50,5066,0.0,245,1120,3,4.146453115713365
